mussels,tuna_tartare
prime_rib,ceviche
mussels,chocolate_cake
baby_back_ribs,beef_carpaccio
hummus,takoyaki
escargots,tuna_tartare
tuna_tartare,ceviche
grilled_cheese_sandwich,grilled_salmon
french_onion_soup,sashimi
nachos,tuna_tartare
prime_rib,tuna_tartare
prime_rib,tuna_tartare
mussels,ceviche
french_onion_soup,miso_soup
foie_gras,miso_soup
samosa,gyoza
baby_back_ribs,takoyaki
pork_chop,seaweed_salad
escargots,pizza
mussels,tuna_tartare
oysters,sashimi
oysters,pho
mussels,tuna_tartare
oysters,takoyaki
escargots,takoyaki
escargots,red_velvet_cake
escargots,pizza
tuna_tartare,sashimi
mussels,tuna_tartare
pork_chop,sashimi
escargots,tuna_tartare
nachos,carrot_cake
oysters,takoyaki
pho,tuna_tartare
baby_back_ribs,takoyaki
french_onion_soup,ice_cream
mussels,donuts
oysters,pho
oysters,sashimi
ceviche,sashimi
seaweed_salad,nachos
oysters,seaweed_salad
prime_rib,tuna_tartare
oysters,tuna_tartare
hummus,seaweed_salad
oysters,sashimi
oysters,tuna_tartare
mussels,ramen
oysters,sashimi
oysters,beet_salad
mussels,takoyaki
mussels,pho
apple_pie,takoyaki
prime_rib,tuna_tartare
spring_rolls,seaweed_salad
escargots,beet_salad
chicken_wings,tuna_tartare
escargots,beet_salad
oysters,tuna_tartare
miso_soup,sashimi
oysters,tuna_tartare
escargots,tuna_tartare
tuna_tartare,sashimi
chocolate_mousse,sashimi
french_onion_soup,tuna_tartare
mussels,tuna_tartare
french_onion_soup,ceviche
nachos,takoyaki
oysters,tuna_tartare
escargots,escargots
escargots,sashimi
escargots,carrot_cake
scallops,tuna_tartare
apple_pie,beet_salad
escargots,tuna_tartare
escargots,tuna_tartare
prime_rib,takoyaki
beignets,sashimi
escargots,sashimi
filet_mignon,beet_salad
escargots,beet_salad
filet_mignon,sashimi
chocolate_mousse,miso_soup
filet_mignon,tuna_tartare
prime_rib,pizza
beignets,ice_cream
steak,pho
grilled_salmon,tuna_tartare
beet_salad,tuna_tartare
baby_back_ribs,tuna_tartare
chocolate_cake,sashimi
chocolate_mousse,sashimi
scallops,tuna_tartare
chocolate_mousse,sashimi
beignets,tuna_tartare
prime_rib,sashimi
pancakes,sashimi
falafel,sashimi
prime_rib,escargots
takoyaki,garlic_bread
baby_back_ribs,tuna_tartare
french_onion_soup,tuna_tartare
mussels,seaweed_salad
mussels,donuts
escargots,tuna_tartare
prime_rib,macaroni_and_cheese
seaweed_salad,tuna_tartare
peking_duck,tuna_tartare
chocolate_mousse,ramen
pancakes,chicken_curry
escargots,escargots
foie_gras,bibimbap
prime_rib,seaweed_salad
prime_rib,tuna_tartare
prime_rib,tuna_tartare
escargots,tuna_tartare
bread_pudding,ice_cream
miso_soup,sashimi
french_onion_soup,ice_cream
takoyaki,pho
escargots,pizza
prime_rib,seaweed_salad
mussels,takoyaki
seaweed_salad,seaweed_salad
oysters,tuna_tartare
samosa,ice_cream
mussels,tuna_tartare
oysters,sushi
steak,seaweed_salad
escargots,tuna_tartare
escargots,tuna_tartare
french_onion_soup,takoyaki
escargots,tuna_tartare
french_onion_soup,seaweed_salad
waffles,tuna_tartare
french_onion_soup,ice_cream
nachos,tuna_tartare
oysters,tuna_tartare
chocolate_mousse,sashimi
beet_salad,tuna_tartare
escargots,miso_soup
escargots,sashimi
prime_rib,carrot_cake
mussels,tuna_tartare
garlic_bread,tuna_tartare
mussels,beef_carpaccio
grilled_salmon,pizza
nachos,seaweed_salad
ceviche,tuna_tartare
samosa,carrot_cake
mussels,takoyaki
nachos,sashimi
prime_rib,tuna_tartare
ice_cream,sashimi
mussels,pho
oysters,ice_cream
oysters,takoyaki
deviled_eggs,sashimi
ice_cream,sashimi
escargots,tuna_tartare
seaweed_salad,seaweed_salad
lobster_roll_sandwich,sashimi
spring_rolls,tuna_tartare
french_onion_soup,sashimi
french_onion_soup,sashimi
mussels,foie_gras
strawberry_shortcake,sushi
french_onion_soup,donuts
escargots,pizza
samosa,ramen
cannoli,sashimi
mussels,sashimi
chocolate_mousse,sashimi
mussels,pho
prime_rib,beef_carpaccio
tiramisu,pizza
mussels,sashimi
tuna_tartare,seaweed_salad
french_onion_soup,donuts
mussels,pho
mussels,donuts
hummus,scallops
oysters,seaweed_salad
mussels,pizza
hummus,sashimi
oysters,pho
mussels,sashimi
escargots,seaweed_salad
panna_cotta,sashimi
escargots,sashimi
mussels,tuna_tartare
